"Mod_level","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","category","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_1","count_block_2","count_block_3","count_block_4","count_correct","count_experiment","count_fixation","count_incorrect","count_instructions1","count_instructions2","count_instructions3","count_instructions4","count_instructions_4","count_keyboard_response","count_logger","count_mask1","count_mask2","count_practice","count_prime","count_target","count_thanks","count_trial_sequence","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice","logfile","mouse_backend","opensesame_codename","opensesame_version","prime","repeat_cycle","response","response_instructions1","response_instructions2","response_instructions3","response_instructions4","response_instructions_4","response_keyboard_response","response_time","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_instructions4","response_time_instructions_4","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_1","time_block_2","time_block_3","time_block_4","time_correct","time_experiment","time_fixation","time_incorrect","time_instructions1","time_instructions2","time_instructions3","time_instructions4","time_instructions_4","time_keyboard_response","time_logger","time_mask1","time_mask2","time_practice","time_prime","time_target","time_thanks","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_length"
"unrelated","0","0","2000.0400420103688","2000.0400420103688","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","0","0","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","HOME","0","None","space","space","space","NA","NA","None","2000.0400420103688","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","2000.0400420103688","2","psycho","1024","2","48000","-16","experiment","999","odd","COAT","NA","NA","NA","NA","NA","2556.1982080107555","4173.173957999097","NA","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","4928.68566600373","6928.88849999872","4828.644791006809","4894.8249999957625","4132.774208002957","4862.373500014655","4928.572125005303","NA","4171.033582999371","Class2","0","2000.0400420103688","1","yes","1024","4"
"exact","50","50","1068.761041504331","1068.761041504331","black","psycho","manmade","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","m","NA","NA","NA","NA","1","0","1","1","0","0","0","NA","NA","1","1","1","1","0","1","1","0","1","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","BALL","0","m","space","space","space","NA","NA","m","137.4820409982931","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","137.4820409982931","2","psycho","1024","2","48000","-16","experiment","999","odd","BALL","NA","NA","NA","NA","NA","2556.1982080107555","7501.281208009459","6934.421875019325","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","8254.957500001183","8393.834540998796","8155.010707996553","8220.931832998758","4132.774208002957","8188.770541019039","8254.833707993384","NA","7498.284375004005","Class2","1","2137.522083008662","2","yes","1024","4"
"one_modification","33.333333333333336","33.333333333333336","927.1274303415945","927.1274303415945","black","psycho","natural","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","n","NA","NA","NA","NA","2","0","2","2","0","0","0","NA","NA","2","2","2","2","0","2","2","0","2","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","2","2","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","TI2EE","0","m","space","space","space","NA","NA","m","643.8602080161218","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","643.8602080161218","2","psycho","1024","2","48000","-16","experiment","999","odd","TREE","NA","NA","NA","NA","8397.327125014272","2556.1982080107555","8964.982875011628","6934.421875019325","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","9719.098000001395","10364.370791008696","9619.734666019212","9685.449500015238","4132.774208002957","9653.310624998994","9718.985625018831","NA","8961.90383299836","Class2","1","2781.3822910247836","3","yes","1024","4"
"one_modification","25","25","776.3610207548481","776.3610207548481","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","3","0","3","3","0","0","0","NA","NA","3","3","3","3","0","3","3","0","3","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","3","3","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","DI5H","0","n","space","space","space","NA","NA","n","324.06179199460894","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","324.06179199460894","2","psycho","1024","2","48000","-16","experiment","999","odd","DISH","NA","NA","NA","NA","8397.327125014272","2556.1982080107555","10935.627375001786","10368.095291021746","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","11689.833166019525","12015.214915998513","11590.374999999767","11656.189750006888","4132.774208002957","11623.90812500962","11689.703540992923","NA","10932.45449999813","Class2","1","3105.4440830193926","4","yes","1024","4"
"two_modifications","20","20","880.1741834031418","880.1741834031418","black","psycho","natural","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","n","NA","NA","NA","NA","4","0","4","4","0","0","0","NA","NA","4","4","4","4","0","4","4","0","4","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","4","4","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","[R0W","0","m","space","space","space","NA","NA","m","1295.4268339963164","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","1295.4268339963164","2","psycho","1024","2","48000","-16","experiment","999","odd","CROW","NA","NA","NA","NA","8397.327125014272","2556.1982080107555","12586.510916007683","12018.970958015416","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","13340.471666015219","14637.286415993003","13241.083666012855","13306.841957994038","4132.774208002957","13274.628125014715","13340.35875002155","NA","12583.47379101906","Class2","1","4400.870917015709","5","yes","1024","4"
"two_modifications","33.333333333333336","33.333333333333336","956.9855346732462","956.9855346732462","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","5","0","5","5","0","0","0","NA","NA","5","5","5","5","0","5","5","0","5","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","T(_)N4","0","n","space","space","space","NA","NA","n","1341.0422910237685","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","1341.0422910237685","2","psycho","1024","2","48000","-16","experiment","999","odd","TUNA","NA","NA","NA","NA","8397.327125014272","2556.1982080107555","15208.689166000113","14640.185791009571","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","15963.570499996422","17306.100457994035","15862.954665994039","15929.747957998188","4132.774208002957","15896.999707998475","15963.459082995541","NA","15206.64166600909","Class2","2","5741.9132080394775","6","yes","1024","4"
"unrelated","42.857142857142854","42.857142857142854","913.5088570058413","913.5088570058413","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","6","0","6","6","0","0","0","NA","NA","6","6","6","6","0","6","6","0","6","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","6","6","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","WOOD","0","n","space","space","space","NA","NA","n","652.6487910014112","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","652.6487910014112","2","psycho","1024","2","48000","-16","experiment","999","odd","TUNA","NA","NA","NA","NA","17310.96591599635","2556.1982080107555","17877.460957999574","14640.185791009571","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","18631.47399999434","19285.54162499495","18532.09004100063","18597.92466601357","4132.774208002957","18565.91462501092","18631.356333004078","NA","17874.687958013965","Class2","3","6394.561999040889","7","yes","1024","4"
"one_modification","37.5","37.5","841.2898957576544","841.2898957576544","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","7","0","7","7","0","0","0","NA","NA","7","7","7","7","0","7","7","0","7","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","7","7","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","I3ALL","0","n","space","space","space","NA","NA","n","335.75716702034697","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","335.75716702034697","2","psycho","1024","2","48000","-16","experiment","999","odd","BALL","NA","NA","NA","NA","19288.760708004702","2556.1982080107555","19855.99775001174","14640.185791009571","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","20610.188291000668","20947.299166000448","20510.6331660063","20576.611333002802","4132.774208002957","20544.4329160091","20610.077250021277","NA","19852.925250015687","Class2","3","6730.319166061236","8","yes","1024","4"
"two_modifications","33.333333333333336","33.333333333333336","765.0082036723486","765.0082036723486","black","psycho","natural","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","n","NA","NA","NA","NA","8","0","8","8","0","0","0","NA","NA","8","8","8","8","0","8","8","0","8","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","8","8","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","LE4|=","0","m","space","space","space","NA","NA","m","154.75466698990203","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","154.75466698990203","2","psycho","1024","2","48000","-16","experiment","999","odd","LEAF","NA","NA","NA","NA","19288.760708004702","2556.1982080107555","21518.390625016764","20950.97837501089","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","22272.368708014255","22428.50287500187","22172.9094159964","22238.335625006584","4132.774208002957","22206.413250009064","22272.227915993426","NA","21515.448000020115","Class2","3","6885.073833051138","9","yes","1024","4"
"one_modification","30","30","723.0239291064208","723.0239291064208","black","psycho","natural","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","n","NA","NA","NA","NA","9","0","9","9","0","0","0","NA","NA","9","9","9","9","0","9","9","0","9","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","9","9","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","I3EAK","0","m","space","space","space","NA","NA","m","345.16545801307075","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","345.16545801307075","2","psycho","1024","2","48000","-16","experiment","999","odd","BEAK","NA","NA","NA","NA","19288.760708004702","2556.1982080107555","22999.23149999813","22432.19337501796","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","23753.286374994786","24099.748750013532","23653.851041017333","23719.70145800151","4132.774208002957","23687.59591600974","23753.16858300357","NA","22996.28983301227","Class2","3","7230.239291064208","10","yes","1024","4"
"exact","36.36363636363637","36.36363636363637","671.1398332766046","671.1398332766046","black","psycho","manmade","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","m","NA","NA","NA","NA","10","0","10","10","0","0","0","NA","NA","10","10","10","10","0","10","10","0","10","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","10","10","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","SINK","0","m","space","space","space","NA","NA","m","152.29887497844175","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","152.29887497844175","2","psycho","1024","2","48000","-16","experiment","999","odd","SINK","NA","NA","NA","NA","19288.760708004702","2556.1982080107555","24670.297541015316","24103.41462501674","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","25423.42162501882","25577.019125019433","25323.884333018214","25389.714250020916","4132.774208002957","25357.632916013245","25423.30816600588","NA","24667.36616601702","Class2","4","7382.53816604265","11","yes","1024","4"
"exact","33.333333333333336","33.333333333333336","636.2623784201181","636.2623784201181","black","psycho","natural","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","n","NA","NA","NA","NA","11","0","11","11","0","0","0","NA","NA","11","11","11","11","0","11","11","0","11","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","11","11","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","TREE","0","m","space","space","space","NA","NA","m","252.61037499876693","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","252.61037499876693","2","psycho","1024","2","48000","-16","experiment","999","odd","TREE","NA","NA","NA","NA","25580.602208006894","2556.1982080107555","26147.356375004165","24103.41462501674","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","26901.98033300112","27155.87666601641","26802.06591601018","26868.061707995366","4132.774208002957","26835.873875010293","26901.852375012822","NA","26144.3922080216","Class2","4","7635.148541041417","12","yes","1024","4"
"unrelated","38.46153846153846","38.46153846153846","598.38516984914","598.38516984914","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","12","0","12","12","0","0","0","NA","NA","12","12","12","12","0","12","12","0","12","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","12","12","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","CAKE","0","n","space","space","space","NA","NA","n","143.8586669974029","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","143.8586669974029","2","psycho","1024","2","48000","-16","experiment","999","odd","LEAF","NA","NA","NA","NA","25580.602208006894","2556.1982080107555","27726.461583020864","27159.65962500195","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","28482.6942080108","28627.874625002733","28383.43741602148","28449.086791020818","4132.774208002957","28417.067708011018","28482.559666008456","NA","27723.388708021957","Class2","5","7779.00720803882","13","yes","1024","4"
"two_modifications","35.714285714285715","35.714285714285715","698.5031220039153","698.5031220039153","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","13","0","13","13","0","0","0","NA","NA","13","13","13","13","0","13","13","0","13","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","13","13","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","L4M|*","0","None","space","space","space","NA","NA","None","2000.0365000159945","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","2000.0365000159945","2","psycho","1024","2","48000","-16","experiment","999","odd","LAMP","NA","NA","NA","NA","28631.609916017624","2556.1982080107555","29198.822625010507","27159.65962500195","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","29952.959665999515","31953.197708004154","29853.432375006378","29919.34345799382","4132.774208002957","29887.178500008304","29952.84670800902","NA","29195.80812501954","Class2","5","9779.043708054814","14","yes","1024","4"
"two_modifications","33.333333333333336","33.333333333333336","671.8957833363675","671.8957833363675","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","14","0","14","14","0","0","0","NA","NA","14","14","14","14","0","14","14","0","14","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","14","14","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","B411","0","n","space","space","space","NA","NA","n","299.3930419906974","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","299.3930419906974","2","psycho","1024","2","48000","-16","experiment","999","odd","BALL","NA","NA","NA","NA","28631.609916017624","2556.1982080107555","32526.35741600534","31958.029041008558","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","33280.24545800872","33581.10858302098","33180.58025001665","33246.664000005694","4132.774208002957","33214.43191601429","33280.13162501156","NA","32522.21075000125","Class2","5","10078.436750045512","15","yes","1024","4"
"one_modification","31.25","31.25","654.8345703158702","654.8345703158702","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","15","0","15","15","0","0","0","NA","NA","15","15","15","15","0","15","15","0","15","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","15","15","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","\\/ASE","0","n","space","space","space","NA","NA","n","398.9163750084117","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","398.9163750084117","2","psycho","1024","2","48000","-16","experiment","999","odd","VASE","NA","NA","NA","NA","28631.609916017624","2556.1982080107555","34152.67516599852","33584.994416014524","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","34906.63974999916","35306.754958000965","34807.22704101936","34872.93320801109","4132.774208002957","34840.76262501185","34906.52358302032","NA","34149.67612500186","Class2","5","10477.353125053924","16","yes","1024","4"
"one_modification","35.294117647058826","35.294117647058826","634.3232647084412","634.3232647084412","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","16","0","16","16","0","0","0","NA","NA","16","16","16","16","0","16","16","0","16","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","16","16","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","1EAF","0","n","space","space","space","NA","NA","n","306.14237498957664","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","306.14237498957664","2","psycho","1024","2","48000","-16","experiment","999","odd","LEAF","NA","NA","NA","NA","28631.609916017624","2556.1982080107555","35877.26787501015","35310.730249999324","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","36630.704291019356","36938.00658301916","36531.07733299839","36597.01333299745","4132.774208002957","36564.88116600667","36630.56637500995","NA","35874.22349999542","Class2","6","10783.4955000435","17","yes","1024","4"
"exact","38.888888888888886","38.888888888888886","607.5808541694036","607.5808541694036","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","17","0","17","17","0","0","0","NA","NA","17","17","17","17","0","17","17","0","17","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","17","17","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","CROW","0","n","space","space","space","NA","NA","n","152.95987500576302","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","152.95987500576302","2","psycho","1024","2","48000","-16","experiment","999","odd","CROW","NA","NA","NA","NA","36941.54716600315","2556.1982080107555","37517.65200000955","35310.730249999324","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","38271.72154100845","38425.83600000944","38172.31570801232","38237.99108300591","4132.774208002957","38205.92766601476","38271.605083020404","NA","37515.063500002725","Class2","7","10936.455375049263","18","yes","1024","4"
"unrelated","42.10526315789474","42.10526315789474","589.1338180027608","589.1338180027608","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","18","0","18","18","0","0","0","NA","NA","18","18","18","18","0","18","18","0","18","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","18","18","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","BIKE","0","n","space","space","space","NA","NA","n","257.087167003192","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","257.087167003192","2","psycho","1024","2","48000","-16","experiment","999","odd","VINE","NA","NA","NA","NA","38430.36154101719","2556.1982080107555","38997.004708013264","35310.730249999324","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","39750.972291018115","40009.22645800165","39651.74670799752","39717.37091601244","4132.774208002957","39685.28787500691","39750.85708301049","NA","38994.36054099351","Class2","8","11193.542542052455","19","yes","1024","4"
