"acc","accuracy","average_response_time","avg_rt","background","block_position","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_new_mouse_response","count_corsi","count_corsi4","count_corsi5","count_corsi6","count_corsi_isa","count_corsi_response_sequence","count_corsi_sequence","count_experiment","count_instructions","count_logger","count_new_logger","count_new_loop","count_new_mouse_response","count_new_sequence_1","count_new_sketchpad","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_corsi4","response_corsi5","response_corsi6","response_instructions","response_new_mouse_response","response_time","response_time_corsi4","response_time_corsi5","response_time_corsi6","response_time_instructions","response_time_new_mouse_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_corsi","time_corsi4","time_corsi5","time_corsi6","time_corsi_isa","time_corsi_response_sequence","time_corsi_sequence","time_experiment","time_instructions","time_logger","time_new_logger","time_new_loop","time_new_mouse_response","time_new_sequence_1","time_new_sketchpad","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","undefined","undefined","black","-448","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","0","NA","NA","NA","0","0","0","0","0","NA","0","0","NA","NA","NA","NA","NA","NA","Fri Nov 25 16:56:49 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","2615.248584013898","NA","NA","NA","2615.248584013898","NA","2","psycho","1024","2","48000","-16","experiment","999","odd","7423.37183401105","NA","NA","NA","6418.249667010969","NA","6412.144083995372","3753.9636669971514","3766.3823750044685","NA","8424.576666991925","6393.20074999705","NA","NA","NA","CorsiBlockDemo","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","192","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","1","NA","NA","NA","1","0","1","0","0","NA","1","0","NA","NA","NA","NA","NA","NA","Fri Nov 25 16:56:49 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","2615.248584013898","NA","NA","NA","2615.248584013898","NA","2","psycho","1024","2","48000","-16","experiment","999","odd","9483.78504201537","NA","NA","NA","8477.765125018777","NA","8474.178083997685","3753.9636669971514","3766.3823750044685","NA","10485.00787501689","6393.20074999705","NA","NA","NA","CorsiBlockDemo","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","-128","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","2","NA","NA","NA","2","0","2","0","0","NA","2","0","NA","NA","NA","NA","NA","NA","Fri Nov 25 16:56:49 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","2","2","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","2615.248584013898","NA","NA","NA","2615.248584013898","NA","2","psycho","1024","2","48000","-16","experiment","999","odd","11543.409875012003","NA","NA","NA","10538.125042017782","NA","10533.22075001779","3753.9636669971514","3766.3823750044685","NA","12544.628500007093","6393.20074999705","NA","NA","NA","CorsiBlockDemo","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","32","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","3","NA","NA","NA","3","0","3","0","0","NA","3","0","NA","NA","NA","NA","NA","NA","Fri Nov 25 16:56:49 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","3","3","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","2615.248584013898","NA","NA","NA","2615.248584013898","NA","2","psycho","1024","2","48000","-16","experiment","999","odd","13603.62858400913","NA","NA","NA","12597.640624997439","NA","12592.74295900832","3753.9636669971514","3766.3823750044685","NA","14608.884542016312","6393.20074999705","NA","NA","NA","CorsiBlockDemo","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","-288","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","4","NA","NA","NA","4","0","4","0","0","NA","4","0","NA","NA","NA","NA","NA","NA","Fri Nov 25 16:56:49 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","4","4","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","2615.248584013898","NA","NA","NA","2615.248584013898","NA","2","psycho","1024","2","48000","-16","experiment","999","odd","15667.363542015664","NA","NA","NA","14661.490583996056","NA","14656.566000019666","3753.9636669971514","3766.3823750044685","NA","16668.476541992277","6393.20074999705","NA","NA","NA","CorsiBlockDemo","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","352","psycho","psycho","psycho","0","uniform","undefined","undefined","NA","5","NA","NA","NA","5","0","5","0","0","NA","5","0","NA","NA","NA","NA","NA","NA","Fri Nov 25 16:56:49 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","2615.248584013898","NA","NA","NA","2615.248584013898","NA","2","psycho","1024","2","48000","-16","experiment","999","odd","17730.429042014293","NA","NA","NA","16722.550209000474","NA","16717.01687501627","3753.9636669971514","3766.3823750044685","NA","18731.709417013917","6393.20074999705","NA","NA","NA","CorsiBlockDemo","0","0","0","yes","1024"
"undefined","undefined","1163.4046669933014","1163.4046669933014","black","352","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","6","0","0","0","0","undefined","-386","-20","Fri Nov 25 16:56:49 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","0","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","1163.4046669933014","NA","NA","NA","2615.248584013898","1163.4046669933014","2","psycho","1024","2","48000","-16","experiment","999","odd","17730.429042014293","NA","NA","NA","16722.550209000474","18761.523791996296","16717.01687501627","3753.9636669971514","3766.3823750044685","NA","19946.79200000246","6393.20074999705","18781.346292002127","18776.2759590114","18781.21887499583","CorsiBlockDemo","0","1163.4046669933014","1","yes","1024"
"undefined","undefined","1079.8408544942504","1079.8408544942504","black","352","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","7","0","1","1","1","undefined","57","-28","Fri Nov 25 16:56:49 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","1","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","996.2770419951994","NA","NA","NA","2615.248584013898","996.2770419951994","2","psycho","1024","2","48000","-16","experiment","999","odd","17730.429042014293","NA","NA","NA","16722.550209000474","18761.523791996296","16717.01687501627","3753.9636669971514","3766.3823750044685","NA","20992.803291999735","6393.20074999705","19994.611917005386","19989.537167013623","19994.477625004947","CorsiBlockDemo","0","2159.6817089885008","2","yes","1024"
"undefined","undefined","932.9886389993286","932.9886389993286","black","352","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","8","0","2","2","2","undefined","-210","-13","Fri Nov 25 16:56:49 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","2","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","639.2842080094852","NA","NA","NA","2615.248584013898","639.2842080094852","2","psycho","1024","2","48000","-16","experiment","999","odd","17730.429042014293","NA","NA","NA","16722.550209000474","18761.523791996296","16717.01687501627","3753.9636669971514","3766.3823750044685","NA","21680.576250015292","6393.20074999705","21039.40066701034","21035.125499998685","21039.258000004338","CorsiBlockDemo","0","2798.965916997986","3","yes","1024"
"undefined","undefined","870.1849792487337","870.1849792487337","black","352","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","9","0","3","3","3","undefined","-87","-18","Fri Nov 25 16:56:49 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","3","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","681.773999996949","NA","NA","NA","2615.248584013898","681.773999996949","2","psycho","1024","2","48000","-16","experiment","999","odd","17730.429042014293","NA","NA","NA","16722.550209000474","18761.523791996296","16717.01687501627","3753.9636669971514","3766.3823750044685","NA","22411.70658401097","6393.20074999705","21728.256500005955","21724.04708401882","21728.11450000154","CorsiBlockDemo","0","3480.739916994935","4","yes","1024"
"undefined","undefined","856.9418999948539","856.9418999948539","black","352","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","10","0","4","4","4","undefined","418","-24","Fri Nov 25 16:56:49 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","4","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","803.9695829793345","NA","NA","NA","2615.248584013898","803.9695829793345","2","psycho","1024","2","48000","-16","experiment","999","odd","17730.429042014293","NA","NA","NA","16722.550209000474","18761.523791996296","16717.01687501627","3753.9636669971514","3766.3823750044685","NA","23264.350709010614","6393.20074999705","22458.43229201273","22454.087542020716","22458.30462500453","CorsiBlockDemo","0","4284.709499974269","5","yes","1024"
"undefined","undefined","852.400215328089","852.400215328089","black","352","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","11","0","5","5","5","undefined","252","-14","Fri Nov 25 16:56:49 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension","no","mono","no","18","no","white","no","no","768","psycho","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","829.6917919942643","NA","NA","NA","2615.248584013898","829.6917919942643","2","psycho","1024","2","48000","-16","experiment","999","odd","17730.429042014293","NA","NA","NA","16722.550209000474","18761.523791996296","16717.01687501627","3753.9636669971514","3766.3823750044685","NA","24142.92050001677","6393.20074999705","23311.349875002634","23307.115542003885","23311.21779201203","CorsiBlockDemo","0","5114.401291968534","6","yes","1024"
