"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","congruence","coordinates","correct","correct_keyboard_response_short","correct_response","count_experiment","count_fixation","count_keyboard_response_short","count_logger_short","count_mask1","count_mask2","count_mask3","count_new_sequence","count_prime","count_short_loop","count_target","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_short_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","prime","repeat_cycle","response","response_keyboard_response_short","response_time","response_time_keyboard_response_short","round_decimals","sampler_backend","soa_condition","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_experiment","time_fixation","time_keyboard_response_short","time_logger_short","time_mask1","time_mask2","time_mask3","time_new_sequence","time_prime","time_short_loop","time_target","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","966.2958750268444","966.2958750268444","black","psycho","psycho","psycho","0","Con_Nat","short","uniform","1","1","n","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","corn","0","n","n","966.2958750268444","966.2958750268444","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","corn","5130.033791007008","5777.228957973421","9178.57708298834","10160.146332986187","8786.405999970157","9068.27925000107","9144.34566599084","5762.744040985126","9103.860541014","5130.218832986429","9178.435916022863","Masked_repetition_priming","1","966.2958750268444","1","yes","1024"
"100","100","829.1977290355135","829.1977290355135","black","psycho","psycho","psycho","0","Con_Synth","short","uniform","1","1","m","0","1","1","1","1","1","1","1","1","0","1","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","gate","0","m","m","692.0995830441825","692.0995830441825","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","gate","5130.033791007008","10245.617665990721","13636.799332976807","14330.29345801333","13253.078582987655","13531.820291012991","13602.78095799731","10240.233665972482","13565.566416014917","5130.218832986429","13636.673874978442","Masked_repetition_priming","2","1658.395458071027","2","yes","1024"
"100","100","797.3654443630949","797.3654443630949","black","psycho","psycho","psycho","0","Inc_Synth_Nat","short","uniform","1","1","n","0","2","2","2","2","2","2","2","2","0","2","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","2","2","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","sewer","0","n","n","733.7008750182576","733.7008750182576","2","psycho","incongruent","1024","2","48000","-16","experiment","1","odd","coral","5130.033791007008","14404.692166019231","17795.790000003763","18530.75637499569","17412.25020796992","17691.03983300738","17760.963374981657","14401.112666004337","17724.88912497647","5130.218832986429","17795.663041004445","Masked_repetition_priming","3","2392.0963330892846","3","yes","1024"
"100","100","721.7564375168877","721.7564375168877","black","psycho","psycho","psycho","0","Con_Nat","short","uniform","1","1","n","0","3","3","3","3","3","3","3","3","0","3","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","3","3","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","grass","0","n","n","494.9294169782661","494.9294169782661","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","grass","5130.033791007008","18604.591833020095","21994.271041010506","22497.339124965947","21611.805416003335","21889.790540968534","21959.443165978882","18601.77691600984","21923.580583010335","5130.218832986429","21994.14904101286","Masked_repetition_priming","4","2887.0257500675507","4","yes","1024"
"100","100","708.5578584112227","708.5578584112227","black","psycho","psycho","psycho","0","Con_Nat","short","uniform","1","1","n","0","4","4","4","4","4","4","4","4","0","4","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","4","4","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","puppy","0","n","n","655.7635419885628","655.7635419885628","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","puppy","5130.033791007008","22569.777707976755","25958.787165989634","26615.913000016008","25576.567707990762","25854.65483297594","25924.84420799883","22566.264124994632","25888.66654096637","5130.218832986429","25958.67433300009","Masked_repetition_priming","5","3542.7892920561135","5","yes","1024"
"100","100","690.8376528396426","690.8376528396426","black","psycho","psycho","psycho","0","Con_Synth","short","uniform","1","1","m","0","5","5","5","5","5","5","5","5","0","5","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","rope","0","m","m","602.2366249817424","602.2366249817424","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","rope","5130.033791007008","26688.037624990102","30077.76458299486","30681.330999999773","29695.037416007835","29973.463708010968","30043.665207980666","26684.299124986865","30007.421457965393","5130.218832986429","30077.649582992308","Masked_repetition_priming","6","4145.025917037856","6","yes","1024"
"100","100","692.6921548604566","692.6921548604566","black","psycho","psycho","psycho","0","Inc_Synth_Nat","short","uniform","1","1","n","0","6","6","6","6","6","6","6","6","0","6","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","6","6","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","patio","0","n","n","703.8191669853404","703.8191669853404","2","psycho","incongruent","1024","2","48000","-16","experiment","1","odd","sloth","5130.033791007008","30753.62191599561","34144.87320801709","34850.00612499425","33761.64574996801","34040.75549996924","34111.03041598108","30750.180041010026","34074.668875022326","5130.218832986429","34144.74804099882","Masked_repetition_priming","7","4848.845084023196","7","yes","1024"
"87.5","87.5","670.0884272577241","670.0884272577241","black","psycho","psycho","psycho","0","Con_Synth","short","uniform","0","0","m","0","7","7","7","7","7","7","7","7","0","7","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","7","7","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","tower","0","n","n","511.8623340385966","511.8623340385966","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","tower","5130.033791007008","34921.441124984995","38311.969415983185","38825.13666601153","37928.72654099483","38207.03591598431","38277.90504100267","34918.42712496873","38240.75258302037","5130.218832986429","38311.827624973375","Masked_repetition_priming","7","5360.707418061793","8","yes","1024"
"88.88888888888889","88.88888888888889","689.1061714526991","689.1061714526991","black","psycho","psycho","psycho","0","Inc_Nat_Synth","short","uniform","1","1","m","0","8","8","8","8","8","8","8","8","0","8","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","8","8","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","lime","0","m","m","841.2481250124983","841.2481250124983","2","psycho","incongruent","1024","2","48000","-16","experiment","1","odd","sofa","5130.033791007008","38898.7264999887","42287.627874989994","43130.34404098289","41905.507916002534","42183.896749978885","42253.67537501734","38895.08745801868","42217.82108297339","5130.218832986429","42287.51041600481","Masked_repetition_priming","8","6201.955543074291","9","yes","1024"
"90","90","680.2534501126502","680.2534501126502","black","psycho","psycho","psycho","0","Inc_Synth_Nat","short","uniform","1","1","n","0","9","9","9","9","9","9","9","9","0","9","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","9","9","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","wharf","0","n","n","600.5789580522105","600.5789580522105","2","psycho","incongruent","1024","2","48000","-16","experiment","1","odd","twig","5130.033791007008","43203.18224997027","46593.40108296601","47195.35716599785","46210.60833299998","46489.392457995564","46559.25108300289","43199.75949998479","46523.20495800814","5130.218832986429","46593.26970798429","Masked_repetition_priming","9","6802.534501126502","10","yes","1024"
"90.9090909090909","90.9090909090909","675.8512311921963","675.8512311921963","black","psycho","psycho","psycho","0","Con_Synth","short","uniform","1","1","m","0","10","10","10","10","10","10","10","10","0","10","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","10","10","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","belt","0","m","m","631.8290419876575","631.8290419876575","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","belt","5130.033791007008","47267.421790980734","50657.109040999785","51290.40866601281","50274.78749997681","50553.5496660159","50623.13424999593","47263.72845796868","50587.31375000207","5130.218832986429","50656.97274997365","Masked_repetition_priming","10","7434.363543114159","11","yes","1024"
"91.66666666666667","91.66666666666667","667.2328820083445","667.2328820083445","black","psycho","psycho","psycho","0","Con_Synth","short","uniform","1","1","m","0","11","11","11","11","11","11","11","11","0","11","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","11","11","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","sword","0","m","m","572.4310409859754","572.4310409859754","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","sword","5130.033791007008","51362.333707977086","54751.37387501309","55325.15891600633","54369.282333005685","54647.89445797214","54717.62820798904","51358.725957979914","54681.699457985815","5130.218832986429","54751.2488749926","Masked_repetition_priming","11","8006.794584100135","12","yes","1024"
"92.3076923076923","92.3076923076923","665.7577660875037","665.7577660875037","black","psycho","psycho","psycho","0","Inc_Synth_Nat","short","uniform","1","1","n","0","12","12","12","12","12","12","12","12","0","12","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","12","12","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","rake","0","n","n","648.0563750374131","648.0563750374131","2","psycho","incongruent","1024","2","48000","-16","experiment","1","odd","husky","5130.033791007008","55397.13075000327","58785.986999981105","59435.39300002158","58403.81058299681","58682.15512501774","58751.916165987495","55393.59991601668","58716.17858298123","5130.218832986429","58785.86649999488","Masked_repetition_priming","12","8654.850959137548","13","yes","1024"
"92.85714285714286","92.85714285714286","663.3992202945852","663.3992202945852","black","psycho","psycho","psycho","0","Con_Nat","short","uniform","1","1","n","0","13","13","13","13","13","13","13","13","0","13","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","13","13","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","deer","0","n","n","632.7381249866448","632.7381249866448","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","deer","5130.033791007008","59507.6205409714","62896.46262500901","63530.54120799061","62514.49237501947","62792.84316598205","62862.562874972355","59504.4683329761","62826.7022909713","5130.218832986429","62896.34529099567","Masked_repetition_priming","13","9287.589084124193","14","yes","1024"
"93.33333333333333","93.33333333333333","655.5003000733753","655.5003000733753","black","psycho","psycho","psycho","0","Con_Nat","short","uniform","1","1","n","0","14","14","14","14","14","14","14","14","0","14","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","14","14","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","seed","0","n","n","544.915416976437","544.915416976437","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","seed","5130.033791007008","63601.52675001882","66989.51595800463","67535.78970796661","66608.07095799828","66886.4778749994","66955.78899997054","63598.7975000171","66920.0628749677","5130.218832986429","66989.38458302291","Masked_repetition_priming","14","9832.50450110063","15","yes","1024"
"87.5","87.5","647.4226016325701","647.4226016325701","black","psycho","psycho","psycho","0","Con_Nat","short","uniform","0","0","n","0","15","15","15","15","15","15","15","15","0","15","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","15","15","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","cave","0","m","m","526.2571250204928","526.2571250204928","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","cave","5130.033791007008","67623.3199579874","71012.97337497817","71540.59599997709","70630.61220798409","70908.97216601297","70979.23283302225","67618.01408301108","70942.70812498871","5130.218832986429","71012.80383300036","Masked_repetition_priming","14","10358.761626121122","16","yes","1024"
"88.23529411764706","88.23529411764706","651.7861324177562","651.7861324177562","black","psycho","psycho","psycho","0","Con_Synth","short","uniform","1","1","m","0","16","16","16","16","16","16","16","16","0","16","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","16","16","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","bread","0","m","m","721.6026249807328","721.6026249807328","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","bread","5130.033791007008","71613.9301660005","75002.3577910033","75725.3359159804","74620.66016596509","74899.05195799656","74968.69887498906","71610.28604098829","74932.84145800862","5130.218832986429","75002.23595800344","Masked_repetition_priming","15","11080.364251101855","17","yes","1024"
"88.88888888888889","88.88888888888889","658.1689051753427","658.1689051753427","black","psycho","psycho","psycho","0","Inc_Nat_Synth","short","uniform","1","1","m","0","17","17","17","17","17","17","17","17","0","17","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","17","17","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","mice","0","m","m","766.6760420543142","766.6760420543142","2","psycho","incongruent","1024","2","48000","-16","experiment","1","odd","tools","5130.033791007008","75797.91683302028","79187.23120796494","79955.28158301022","78804.73525001435","79083.48337496864","79153.14904099796","75794.42308301805","79117.28491599206","5130.218832986429","79187.09520797711","Masked_repetition_priming","16","11847.04029315617","18","yes","1024"
"89.47368421052632","89.47368421052632","671.771826850569","671.771826850569","black","psycho","psycho","psycho","0","Con_Nat","short","uniform","1","1","n","0","18","18","18","18","18","18","18","18","0","18","Thu Oct 27 14:17:39 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","18","18","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.12","hawk","0","n","n","916.6244170046411","916.6244170046411","2","psycho","congruent","1024","2","48000","-16","experiment","1","odd","hawk","5130.033791007008","80027.61833299883","83417.01095801545","84334.99908301746","83034.63249997003","83313.11920797452","83383.02274997113","80023.78137496999","83346.98383300565","5130.218832986429","83416.88429098576","Masked_repetition_priming","17","12763.66471016081","19","yes","1024"
