"A","B","C","D","E","F","G","H","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_number_input","correct_number_input_1","correct_number_input_2","count_digit_loop","count_digit_loop_1","count_experiment","count_get_input_loop","count_get_input_loop_1","count_get_input_loop_2","count_get_input_sequence","count_get_input_sequence_1","count_get_input_sequence_2","count_init","count_init_1","count_init_2","count_letter_loop","count_letter_loop_1","count_number_input","count_number_input_1","count_number_input_2","count_process_input","count_process_input_1","count_process_input_2","count_report","count_report_1","count_report_2","count_response_logger","count_response_logger_1","count_response_logger_2","count_show_input","count_show_input_1","count_show_input_2","count_stimA","count_stimA_1","count_stimA_2","count_stimB","count_stimB_1","count_stimB_2","count_stimC","count_stimC_1","count_stimC_2","count_stimD","count_stimD_1","count_stimD_2","count_stimE","count_stimE_1","count_stimE_2","count_stimF","count_stimF_1","count_stimF_2","count_stimG","count_stimG_1","count_stimG_2","count_stimH","count_stimH_1","count_stimH_2","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_get_input_loop_2","live_row_letter_loop_1","logfile","mouse_backend","multichar_response","opensesame_codename","opensesame_version","repeat_cycle","response","response_number_input","response_number_input_1","response_number_input_2","response_time","response_time_number_input","response_time_number_input_1","response_time_number_input_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","span","start","subject_nr","subject_parity","time_digit_loop","time_digit_loop_1","time_experiment","time_get_input_loop","time_get_input_loop_1","time_get_input_loop_2","time_get_input_sequence","time_get_input_sequence_1","time_get_input_sequence_2","time_init","time_init_1","time_init_2","time_letter_loop","time_letter_loop_1","time_number_input","time_number_input_1","time_number_input_2","time_process_input","time_process_input_1","time_process_input_2","time_report","time_report_1","time_report_2","time_response_logger","time_response_logger_1","time_response_logger_2","time_show_input","time_show_input_1","time_show_input_2","time_stimA","time_stimA_1","time_stimA_2","time_stimB","time_stimB_1","time_stimB_2","time_stimC","time_stimC_1","time_stimC_2","time_stimD","time_stimD_1","time_stimD_2","time_stimE","time_stimE_1","time_stimE_2","time_stimF","time_stimF_1","time_stimF_2","time_stimG","time_stimG_1","time_stimG_2","time_stimH","time_stimH_1","time_stimH_2","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"i","m","u","u","e","r","$","$","undefined","undefined","424.94217883336205","424.94217883336205","black","psycho","psycho","psycho","0","uniform","undefined","NA","NA","undefined","NA","0","0","NA","NA","0","NA","NA","5","NA","NA","0","NA","0","NA","NA","5","NA","NA","5","NA","NA","0","NA","NA","0","NA","NA","5","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","6","6","0","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","imuerreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","return","301.5077489999385","NA","NA","301.5077489999385","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","NA","1847.1708409999792","NA","NA","4630.524420000029","NA","NA","7315.155245999904","NA","NA","2420.535510000036","NA","1847.380868999835","NA","NA","7329.838040999903","NA","NA","7632.956560999901","NA","NA","4630.4014859999825","NA","NA","7712.019800999997","NA","NA","7329.573558999982","NA","NA","2446.994560999883","NA","NA","2814.887558999999","NA","NA","3180.1058809999176","NA","NA","3546.613870999863","NA","NA","3912.8352899999754","NA","NA","4279.662745999985","NA","NA","NA","NA","NA","NA","NA","NA","2419.9305639999693","MemorySpan_1","0","2549.6530730001723","6","yes","1024"
"z","v","y","$","$","$","$","$","undefined","undefined","505.8189628000264","505.8189628000264","black","psycho","psycho","psycho","0","uniform","undefined","NA","NA","undefined","NA","0","0","NA","NA","1","NA","NA","9","NA","NA","1","NA","0","NA","NA","9","NA","NA","9","NA","NA","1","NA","NA","1","NA","NA","9","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","4","4","1","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","zvyreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","return","553.9060460000655","NA","NA","553.9060460000655","2","psycho","1024","2","48000","-16","3","experiment","1","odd","NA","NA","1847.1708409999792","NA","NA","8896.769226999822","NA","NA","11119.459149000022","NA","NA","7797.140400999979","NA","1847.380868999835","NA","NA","11146.42676099993","NA","NA","11701.813553999955","NA","NA","8896.64292999987","NA","NA","11781.64571000002","NA","NA","11145.742423000002","NA","NA","7813.093636999838","NA","NA","8179.322130999935","NA","NA","8545.910284000001","NA","NA","3546.613870999863","NA","NA","3912.8352899999754","NA","NA","4279.662745999985","NA","NA","NA","NA","NA","NA","NA","NA","7796.430082999905","MemorySpan_1","0","5058.189628000264","10","yes","1024"
"t","q","t","f","$","$","$","$","undefined","undefined","500.7747140000295","500.7747140000295","black","psycho","psycho","psycho","0","uniform","undefined","NA","NA","undefined","NA","0","0","NA","NA","2","NA","NA","14","NA","NA","2","NA","0","NA","NA","14","NA","NA","14","NA","NA","2","NA","NA","2","NA","NA","14","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","5","5","2","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","tqtfreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","return","377.6876940000875","NA","NA","377.6876940000875","2","psycho","1024","2","48000","-16","4","experiment","1","odd","NA","NA","1847.1708409999792","NA","NA","13331.495687999904","NA","NA","15795.011555999963","NA","NA","11868.209720999857","NA","1847.380868999835","NA","NA","15813.48124499982","NA","NA","16192.750407999938","NA","NA","13331.375943000012","NA","NA","16284.24222800004","NA","NA","15812.532453999893","NA","NA","11879.58519599988","NA","NA","12246.029013999987","NA","NA","12613.02660299998","NA","NA","12979.867623000018","NA","NA","3912.8352899999754","NA","NA","4279.662745999985","NA","NA","NA","NA","NA","NA","NA","NA","11867.44451200002","MemorySpan_1","0","7511.620710000443","15","yes","1024"
"v","j","y","$","$","$","$","$","undefined","undefined","494.6431086842301","494.6431086842301","black","psycho","psycho","psycho","0","uniform","undefined","NA","NA","undefined","NA","0","0","NA","NA","3","NA","NA","18","NA","NA","3","NA","0","NA","NA","18","NA","NA","18","NA","NA","3","NA","NA","3","NA","NA","18","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","4","4","3","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","vjyreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","return","400.7778079999298","NA","NA","400.7778079999298","2","psycho","1024","2","48000","-16","3","experiment","1","odd","NA","NA","1847.1708409999792","NA","NA","17514.665733999893","NA","NA","19261.15709999999","NA","NA","16410.554603000037","NA","1847.380868999835","NA","NA","19280.340203999913","NA","NA","19682.63514099999","NA","NA","17514.541863999966","NA","NA","19763.544964999935","NA","NA","19279.382653999848","NA","NA","16429.71376399987","NA","NA","16796.358355999928","NA","NA","17163.037991000012","NA","NA","12979.867623000018","NA","NA","3912.8352899999754","NA","NA","4279.662745999985","NA","NA","NA","NA","NA","NA","NA","NA","16409.887577999827","MemorySpan_1","0","9398.219065000372","19","yes","1024"
"u","p","t","x","i","p","f","$","undefined","undefined","456.7201384815219","456.7201384815219","black","psycho","psycho","psycho","0","uniform","undefined","NA","NA","undefined","NA","0","0","NA","NA","4","NA","NA","26","NA","NA","4","NA","0","NA","NA","26","NA","NA","26","NA","NA","4","NA","NA","4","NA","NA","26","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","8","8","4","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","uptxixsreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","return","327.3894400001627","NA","NA","327.3894400001627","2","psycho","1024","2","48000","-16","7","experiment","1","odd","NA","NA","1847.1708409999792","NA","NA","22414.668326999847","NA","NA","25650.836526999912","NA","NA","19852.208348999964","NA","1847.380868999835","NA","NA","25664.451433999828","NA","NA","25993.473173999973","NA","NA","22414.509200999873","NA","NA","26085.124827999833","NA","NA","25664.089495999862","NA","NA","19862.623707000013","NA","NA","20229.60813199984","NA","NA","20596.090946999993","NA","NA","20963.61265099995","NA","NA","21329.365646000042","NA","NA","21696.294450999856","NA","NA","22063.639041999977","NA","NA","NA","NA","NA","19851.454188999924","MemorySpan_1","0","12331.44373900109","27","yes","1024"
"v","e","z","g","s","q","l","$","undefined","undefined","430.54797887882125","430.54797887882125","black","psycho","psycho","psycho","0","uniform","undefined","NA","NA","undefined","NA","0","0","NA","NA","5","NA","NA","32","NA","NA","5","NA","0","NA","NA","32","NA","NA","32","NA","NA","5","NA","NA","5","NA","NA","32","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","6","6","5","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","vesfsreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","return","592.1175769999536","NA","NA","592.1175769999536","2","psycho","1024","2","48000","-16","7","experiment","1","odd","NA","NA","1847.1708409999792","NA","NA","28780.82236199998","NA","NA","30535.774447999982","NA","NA","26205.344418999855","NA","1847.380868999835","NA","NA","30563.60848899999","NA","NA","31157.303330999865","NA","NA","28780.70225800002","NA","NA","31247.946950999903","NA","NA","30562.618952999856","NA","NA","26229.666221999876","NA","NA","26595.917484999973","NA","NA","26962.731371000016","NA","NA","27329.496223999966","NA","NA","27695.99530200003","NA","NA","28062.64131800003","NA","NA","28429.295918999967","NA","NA","NA","NA","NA","26204.676030999963","MemorySpan_1","0","14208.083303001102","33","yes","1024"
"i","m","v","t","k","$","$","$","undefined","undefined","418.51039484618013","418.51039484618013","black","psycho","psycho","psycho","0","uniform","undefined","NA","NA","undefined","NA","0","0","NA","NA","6","NA","NA","38","NA","NA","6","NA","0","NA","NA","38","NA","NA","38","NA","NA","6","NA","NA","6","NA","NA","38","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","6","6","6","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","mivstreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","return","358.6025290001053","NA","NA","358.6025290001053","2","psycho","1024","2","48000","-16","5","experiment","1","odd","NA","NA","1847.1708409999792","NA","NA","33196.880387999954","NA","NA","35431.0569239999","NA","NA","31370.634568000016","NA","1847.380868999835","NA","NA","35445.95061999985","NA","NA","35806.13704300004","NA","NA","33196.764269999905","NA","NA","35904.70624499994","NA","NA","35445.57293599996","NA","NA","31379.506795999987","NA","NA","31746.02731999994","NA","NA","32112.71712300004","NA","NA","32479.373687999898","NA","NA","32845.93391099997","NA","NA","28062.64131800003","NA","NA","28429.295918999967","NA","NA","NA","NA","NA","31369.98388500001","MemorySpan_1","0","16321.905399001025","39","yes","1024"
"d","y","v","f","x","$","$","$","undefined","undefined","398.1293920232771","398.1293920232771","black","psycho","psycho","psycho","0","uniform","undefined","NA","NA","undefined","NA","0","0","NA","NA","7","NA","NA","42","NA","NA","7","NA","0","NA","NA","42","NA","NA","42","NA","NA","7","NA","NA","7","NA","NA","42","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","4","4","7","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","sdsreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","return","188.3606009998839","NA","NA","188.3606009998839","2","psycho","1024","2","48000","-16","5","experiment","1","odd","NA","NA","1847.1708409999792","NA","NA","37864.15194899996","NA","NA","38769.34700299989","NA","NA","36028.64647399997","NA","1847.380868999835","NA","NA","38796.980588","NA","NA","38986.94695099993","NA","NA","37864.03383199991","NA","NA","39081.24455400002","NA","NA","38795.964742000026","NA","NA","36045.97819599985","NA","NA","36412.488179999855","NA","NA","36779.06029799988","NA","NA","37145.75549899996","NA","NA","37512.54632099994","NA","NA","28062.64131800003","NA","NA","28429.295918999967","NA","NA","NA","NA","NA","36027.965001999975","MemorySpan_1","0","17119.563857000914","43","yes","1024"
"z","x","m","y","$","$","$","$","undefined","undefined","384.3843770816599","384.3843770816599","black","psycho","psycho","psycho","0","uniform","undefined","NA","NA","undefined","NA","0","0","NA","NA","8","NA","NA","48","NA","NA","8","NA","0","NA","NA","48","NA","NA","48","NA","NA","8","NA","NA","8","NA","NA","48","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","6","6","8","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","zmdkgreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","return","252.30884000007063","NA","NA","252.30884000007063","2","psycho","1024","2","48000","-16","4","experiment","1","odd","NA","NA","1847.1708409999792","NA","NA","40664.21834399989","NA","NA","42592.119492999926","NA","NA","39203.266858","NA","1847.380868999835","NA","NA","42613.154279999886","NA","NA","42867.087955999974","NA","NA","40664.10417299994","NA","NA","42959.294123999825","NA","NA","42612.361998999855","NA","NA","39211.97536499995","NA","NA","39579.28076500002","NA","NA","39945.930819999834","NA","NA","40312.57628899993","NA","NA","37512.54632099994","NA","NA","28062.64131800003","NA","NA","28429.295918999967","NA","NA","NA","NA","NA","39202.436771999826","MemorySpan_1","0","18834.834477001335","49","yes","1024"
