"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_correct_feedback","count_credits","count_experiment","count_experimentLoop","count_fixation","count_incorrect_feedback","count_instructions1","count_instructions2","count_keyboard_response","count_memory_set","count_new_logger","count_practiceLoop","count_practiceSequence","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instructions1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correct_feedback","time_credits","time_experiment","time_experimentLoop","time_fixation","time_incorrect_feedback","time_instructions1","time_instructions2","time_keyboard_response","time_memory_set","time_new_logger","time_practiceLoop","time_practiceSequence","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","1392","1392","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","left","NA","left","NA","1392","5765","NA","1392","NA","2","legacy","3","1024","2","48000","-16","experiment","0","even","2","10805","NA","NA","2191","NA","8335","NA","2376","NA","12936","9468","14329","8159","8194","12936","NA","Sternberg","0","1392","1","yes","1024"
"50","50","1150","1150","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","0","0","0","1","1","0","0","1","1","1","0","1","1","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","908","5765","NA","908","NA","2","legacy","4","1024","2","48000","-16","experiment","0","even","6","18168","NA","NA","2191","NA","15686","14470","2376","NA","20310","16829","21219","8159","15545","20310","NA","Sternberg","1","2300","2","yes","1024"
"33.333333333333336","33.333333333333336","909","909","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","2","2","0","0","0","2","2","0","0","2","2","2","0","2","2","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","left","NA","left","NA","427","5765","NA","427","NA","2","legacy","5","1024","2","48000","-16","experiment","0","even","3","25003","21360","NA","2191","NA","22536","14470","2376","NA","27140","23667","27568","8159","22407","27140","NA","Sternberg","1","2727","3","yes","1024"
"25","25","1026","1026","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","3","3","0","0","0","3","3","0","0","3","3","3","0","3","3","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","right","left","NA","right","NA","1377","5765","NA","1377","NA","2","legacy","4","1024","2","48000","-16","experiment","0","even","5","31352","21360","NA","2191","NA","28886","27710","2376","NA","33480","30019","34858","8159","28754","33480","NA","Sternberg","1","4104","4","yes","1024"
"20","20","1097.8","1097.8","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","4","4","0","0","0","4","4","0","0","4","4","4","0","4","4","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","left","left","NA","left","NA","1385","5765","NA","1385","NA","2","legacy","1","1024","2","48000","-16","experiment","0","even","3","38638","21360","NA","2191","NA","36163","34986","2376","NA","40778","37296","42164","8159","36031","40778","NA","Sternberg","1","5489","5","yes","1024"
"16.666666666666668","16.666666666666668","1066.6666666666667","1066.6666666666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","5","5","0","0","0","5","5","0","0","5","5","5","0","5","5","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","right","left","NA","right","NA","911","5765","NA","911","NA","2","legacy","2","1024","2","48000","-16","experiment","0","even","4","45962","21360","NA","2191","NA","43498","42304","2376","NA","48091","44628","49002","8159","43364","48091","NA","Sternberg","1","6400","6","yes","1024"
"28.571428571428573","28.571428571428573","1033.7142857142858","1033.7142857142858","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","0","0","6","6","0","0","6","6","6","0","6","6","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","836","5765","NA","836","NA","2","legacy","1","1024","2","48000","-16","experiment","0","even","6","52790","21360","NA","2191","NA","50324","49143","2376","NA","54920","51459","55756","8159","50189","54920","NA","Sternberg","2","7236","7","yes","1024"
"37.5","37.5","1045.125","1045.125","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","0","0","0","7","7","0","0","7","7","7","0","7","7","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","1125","5765","NA","1125","NA","2","legacy","6","1024","2","48000","-16","experiment","0","even","4","59532","55893","NA","2191","NA","57066","49143","2376","NA","61665","58196","62791","8159","56938","61665","NA","Sternberg","3","8361","8","yes","1024"
"33.333333333333336","33.333333333333336","1151.2222222222222","1151.2222222222222","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","8","8","0","0","0","8","8","0","0","8","8","8","0","8","8","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","None","left","NA","None","NA","2000","5765","NA","2000","NA","2","legacy","6","1024","2","48000","-16","experiment","0","even","6","66597","62937","NA","2191","NA","64114","49143","2376","NA","68739","65257","70739","8159","63984","68738","NA","Sternberg","3","10361","9","yes","1024"
"40","40","1150.9","1150.9","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","0","0","9","9","0","0","9","9","9","0","9","9","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","1148","5765","NA","1148","NA","2","legacy","2","1024","2","48000","-16","experiment","0","even","5","74546","62937","NA","2191","NA","72077","70881","2376","NA","76689","73210","77838","8159","71940","76689","NA","Sternberg","4","11509","10","yes","1024"
"45.45454545454545","45.45454545454545","1107.090909090909","1107.090909090909","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","10","10","0","0","0","10","10","0","0","10","10","10","0","10","10","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","10","10","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","left","NA","left","NA","669","5765","NA","669","NA","2","legacy","3","1024","2","48000","-16","experiment","0","even","4","81670","77984","NA","2191","NA","79184","70881","2376","NA","83812","80327","84481","8159","79046","83811","NA","Sternberg","5","12178","11","yes","1024"
"41.666666666666664","41.666666666666664","1181.5","1181.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","11","11","0","0","0","11","11","0","0","11","11","11","0","11","11","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","11","11","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","None","left","NA","None","NA","2000","5765","NA","2000","NA","2","legacy","5","1024","2","48000","-16","experiment","0","even","8","88289","84627","NA","2191","NA","85811","70881","2376","NA","90422","86945","92422","8159","85673","90422","NA","Sternberg","5","14178","12","yes","1024"
"46.15384615384615","46.15384615384615","1239.6153846153845","1239.6153846153845","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","12","12","0","0","0","12","12","0","0","12","12","12","0","12","12","0","Mon Sep 14 13:32:19 2020","The main experiment item","yes","Sternberg.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files","no","mono","no","18","no","white","no","no","768","legacy","0","11","/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files/subject-0.csv","legacy","5 2 6","Lentiform Loewenfeld","3.3.3","2","y","0","left","left","left","left","NA","1937","5765","6909","1937","NA","2","legacy","3","1024","2","48000","-16","experiment","0","even","2","103294","84627","NA","2191","100645","100809","92563","2376","93735","105435","101950","107373","8159","100674","105435","NA","Sternberg","6","16115","13","yes","1024"
