"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color","color_backend","compensation","coordinates","correct","correct_general_instruction","correct_keyboard_response","correct_reading_instructions","correct_response","count_ISI","count_experiment","count_feedback_correct","count_feedback_incorrect","count_fixation","count_general_instruction","count_keyboard_response","count_logger","count_naming","count_naming_instructions","count_reading","count_reading_instructions","count_stimulus","count_thanks","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","interference","keyboard_backend","live_row","live_row_reading","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_general_instruction","response_keyboard_response","response_naming_instructions","response_reading_instructions","response_thanks","response_time","response_time_general_instruction","response_time_keyboard_response","response_time_naming_instructions","response_time_reading_instructions","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task","time_ISI","time_experiment","time_feedback_correct","time_feedback_incorrect","time_fixation","time_general_instruction","time_keyboard_response","time_logger","time_naming","time_naming_instructions","time_reading","time_reading_instructions","time_stimulus","time_thanks","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"100","100","951","951","black","legacy","legacy","yellow","legacy","0","uniform","1","undefined","1","undefined","b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","b","space","b","NA","space","NA","951","1983","951","NA","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","reading","9511","2294","9007","NA","7263","2340","8052","10511","NA","NA","7207","4363","8051","NA","7259","Stroop","1","951","1","yes","1024","blue"
"100","100","750","750","black","legacy","legacy","red","legacy","0","uniform","1","undefined","1","undefined","r","1","0","1","1","1","0","1","1","0","0","0","0","1","0","1","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","0","legacy","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","r","space","r","NA","space","NA","549","1983","549","NA","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","reading","12406","2294","11902","NA","10594","2340","11349","13406","NA","NA","7207","4363","11349","NA","10590","Stroop","2","1500","2","yes","1024","red"
"66.66666666666667","66.66666666666667","793.3333333333334","793.3333333333334","black","legacy","legacy","red","legacy","0","uniform","0","undefined","0","undefined","y","2","0","2","2","2","0","2","2","0","0","0","0","2","0","2","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","2","2","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","r","space","r","NA","space","NA","880","1983","880","NA","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","reading","15631","2294","11902","15127","13479","2340","14243","16632","NA","NA","7207","4363","14242","NA","13475","Stroop","2","2380","3","yes","1024","yellow"
"75","75","798.5","798.5","black","legacy","legacy","blue","legacy","0","uniform","1","undefined","1","undefined","y","3","0","3","3","3","0","3","3","0","0","0","0","3","0","3","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","3","3","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","y","space","y","NA","space","NA","814","1983","814","NA","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","reading","18781","2294","18277","15127","16705","2340","17459","19781","NA","NA","7207","4363","17459","NA","16701","Stroop","3","3194","4","yes","1024","yellow"
"80","80","792.8","792.8","black","legacy","legacy","yellow","legacy","0","uniform","1","undefined","1","undefined","y","4","0","4","4","4","0","4","4","0","0","0","0","4","0","4","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","0","legacy","4","4","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","y","space","y","NA","space","NA","770","1983","770","NA","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","reading","21886","2294","21382","15127","19854","2340","20608","22887","NA","NA","7207","4363","20608","NA","19850","Stroop","4","3964","5","yes","1024","yellow"
"83.33333333333333","83.33333333333333","741.1666666666666","741.1666666666666","black","legacy","legacy","yellow","legacy","0","uniform","1","undefined","1","undefined","r","5","0","5","5","5","0","5","5","0","0","0","0","5","0","5","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","r","space","r","NA","space","NA","483","1983","483","NA","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","reading","24694","2294","24187","15127","22946","2340","23700","25694","NA","NA","7207","4363","23700","NA","22942","Stroop","5","4447","6","yes","1024","red"
"85.71428571428571","85.71428571428571","741.1428571428571","741.1428571428571","black","legacy","legacy","blue","legacy","0","uniform","1","undefined","1","undefined","b","6","0","6","6","6","0","6","6","0","0","0","0","6","0","6","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","0","legacy","6","6","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","b","space","b","NA","space","NA","741","1983","741","NA","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","reading","27782","2294","27277","15127","25778","2340","26532","28782","NA","NA","7207","4363","26532","NA","25774","Stroop","6","5188","7","yes","1024","blue"
"87.5","87.5","730.125","730.125","black","legacy","legacy","blue","legacy","0","uniform","1","undefined","1","undefined","r","7","0","7","7","7","0","7","7","0","0","0","0","7","0","7","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","7","7","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","r","space","r","NA","space","NA","653","1983","653","NA","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","reading","30781","2294","30277","15127","28866","2340","29620","31781","NA","NA","7207","4363","29620","NA","28860","Stroop","7","5841","8","yes","1024","red"
"88.88888888888889","88.88888888888889","712.8888888888889","712.8888888888889","black","legacy","legacy","red","legacy","0","uniform","1","undefined","1","undefined","b","8","0","8","8","8","0","8","8","0","0","0","0","8","0","8","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","8","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","b","space","b","NA","space","NA","575","1983","575","NA","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","reading","33691","2294","33187","15127","31854","2340","32608","34691","NA","NA","7207","4363","32608","NA","31850","Stroop","8","6416","9","yes","1024","blue"
"90","90","751.3","751.3","black","legacy","legacy","red","legacy","0","uniform","1","undefined","1","undefined","r","9","0","9","9","9","0","9","9","0","0","0","0","9","0","9","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","0","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","r","space","r","space","space","NA","1097","1983","1097","7990","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","naming","45122","2294","44617","15127","42762","2340","43516","46122","42713","34722","7207","4363","43516","NA","42758","Stroop","9","7513","10","yes","1024","blue"
"81.81818181818181","81.81818181818181","746.6363636363636","746.6363636363636","black","legacy","legacy","red","legacy","0","uniform","0","undefined","0","undefined","r","10","0","10","10","10","0","10","10","0","0","0","0","10","0","10","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","0","legacy","1","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","b","space","b","space","space","NA","700","1983","700","7990","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","naming","48150","2294","44617","47647","46188","2340","46943","49151","42713","34722","7207","4363","46943","NA","46184","Stroop","9","8213","11","yes","1024","red"
"83.33333333333333","83.33333333333333","730.4166666666666","730.4166666666666","black","legacy","legacy","blue","legacy","0","uniform","1","undefined","1","undefined","b","11","0","11","11","11","0","11","11","0","0","0","0","11","0","11","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","0","legacy","2","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","b","space","b","space","space","NA","552","1983","552","7990","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","naming","51030","2294","50527","47647","49217","2340","49971","52031","42713","34722","7207","4363","49970","NA","49212","Stroop","10","8765","12","yes","1024","blue"
"84.61538461538461","84.61538461538461","770.8461538461538","770.8461538461538","black","legacy","legacy","blue","legacy","0","uniform","1","undefined","1","undefined","b","12","0","12","12","12","0","12","12","0","0","0","0","12","0","12","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","3","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","b","space","b","space","space","NA","1256","1983","1256","7990","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","naming","54615","2294","54112","47647","52099","2340","52852","55615","42713","34722","7207","4363","52852","NA","52095","Stroop","11","10021","13","yes","1024","red"
"85.71428571428571","85.71428571428571","785.3571428571429","785.3571428571429","black","legacy","legacy","yellow","legacy","0","uniform","1","undefined","1","undefined","y","13","0","13","13","13","0","13","13","0","0","0","0","13","0","13","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","4","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","y","space","y","space","space","NA","974","1983","974","7990","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","naming","57917","2294","57413","47647","55680","2340","56434","58917","42713","34722","7207","4363","56434","NA","55676","Stroop","12","10995","14","yes","1024","blue"
"86.66666666666667","86.66666666666667","789","789","black","legacy","legacy","yellow","legacy","0","uniform","1","undefined","1","undefined","y","14","0","14","14","14","0","14","14","0","0","0","0","14","0","14","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","5","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","y","space","y","space","space","NA","840","1983","840","7990","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","naming","61111","2294","60607","47647","59009","2340","59763","62111","42713","34722","7207","4363","59763","NA","59003","Stroop","13","11835","15","yes","1024","red"
"87.5","87.5","765.25","765.25","black","legacy","legacy","yellow","legacy","0","uniform","1","undefined","1","undefined","y","15","0","15","15","15","0","15","15","0","0","0","0","15","0","15","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","0","legacy","6","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","y","space","y","space","space","NA","409","1983","409","7990","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","naming","63858","2294","63353","47647","62185","2340","62939","64858","42713","34722","7207","4363","62939","NA","62181","Stroop","14","12244","16","yes","1024","yellow"
"88.23529411764706","88.23529411764706","790.2941176470588","790.2941176470588","black","legacy","legacy","red","legacy","0","uniform","1","undefined","1","undefined","r","16","0","16","16","16","0","16","16","0","0","0","0","16","0","16","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","7","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","r","space","r","space","space","NA","1191","1983","1191","7990","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","naming","67381","2294","66877","47647","64928","2340","65682","68381","42713","34722","7207","4363","65681","NA","64924","Stroop","15","13435","17","yes","1024","yellow"
"88.88888888888889","88.88888888888889","797.8333333333334","797.8333333333334","black","legacy","legacy","blue","legacy","0","uniform","1","undefined","1","undefined","b","17","0","17","17","17","0","17","17","0","0","0","0","17","0","17","Fri Nov 19 10:20:20 2021","The main experiment item","yes","Stroop.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo","no","mono","no","18","no","white","no","no","768","1","legacy","8","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/demo/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","b","space","b","space","space","NA","926","1983","926","7990","2840","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","naming","70652","2294","70147","47647","68463","2340","69217","71652","42713","34722","7207","4363","69217","NA","68458","Stroop","16","14361","18","yes","1024","yellow"
